"Type","cause","Year","Total Deaths"
Bencana Non Alam dan Penyakit,"Cedera, Keracunan, dan Akibat Sebab Luar Tertentu Lainnya",2006,4770
Bencana Non Alam dan Penyakit,"Cedera, Keracunan, dan Akibat Sebab Luar Tertentu Lainnya",2006,4770
Bencana Non Alam dan Penyakit,"Cedera, Keracunan, dan Akibat Sebab Luar Tertentu Lainnya",2007,5945
Bencana Non Alam dan Penyakit,"Cedera, Keracunan, dan Akibat Sebab Luar Tertentu Lainnya",2008,5767
Bencana Non Alam dan Penyakit,"Cedera, Keracunan, dan Akibat Sebab Luar Tertentu Lainnya",2008,5767
Bencana Non Alam dan Penyakit,Cikungunya,2006,0
Bencana Non Alam dan Penyakit,COVID-19,2020,22138
Bencana Non Alam dan Penyakit,COVID-19,2021,121956
Bencana Non Alam dan Penyakit,COVID-19,2022,12876
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2006,68
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2006,2223
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2006,2223
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2006,1196
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2007,1599
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2007,1599
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2007,1599
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2008,1187
Bencana Non Alam dan Penyakit,Diare,2004,53
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2008,1187
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2009,898
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2009,1420
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2009,1420
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2010,325
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2010,1358
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2010,325
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2011,597
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2012,816
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2013,871
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2014,907
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2015,1071
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2016,1598
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2017,493
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2018,467
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2019,919
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2020,747
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2021,705
Bencana Non Alam dan Penyakit,Demam Berdarah Dengue (DBD),2021,705
Bencana Non Alam dan Penyakit,Demam Tifoid dan Paratifoid,2004,2619
Bencana Non Alam dan Penyakit,Demam Tifoid dan Paratifoid,2009,1013
Bencana Non Alam dan Penyakit,Demam Tifoid dan Paratifoid,2010,274
Bencana Non Alam dan Penyakit,Demam Tifoid dan Paratifoid,2010,274
Bencana Non Alam dan Penyakit,Demam yang Sebabnya Tidak Diketahui,2009,462
Bencana Non Alam dan Penyakit,Diabetes melitus YTT,2005,2086
Bencana Non Alam dan Penyakit,Diabetes melitus YTT,2006,2384
Bencana Non Alam dan Penyakit,Diabetes melitus YTT,2006,2384
Bencana Non Alam dan Penyakit,Diare,2002,94
Bencana Non Alam dan Penyakit,Diare,2003,128
Bencana Non Alam dan Penyakit,Diare,2006,49
Bencana Non Alam dan Penyakit,Diare,2006,277
Bencana Non Alam dan Penyakit,Diare & gastroenteritis Oleh penyebab infeksi tertentu (kolitis infeksi),2004,3941
Bencana Non Alam dan Penyakit,Diare & gastroenteritis Oleh penyebab infeksi tertentu (kolitis infeksi),2006,2716
Bencana Non Alam dan Penyakit,Diare & gastroenteritis Oleh penyebab infeksi tertentu (kolitis infeksi),2006,2716
Bencana Non Alam dan Penyakit,Diare & gastroenteritis Oleh penyebab infeksi tertentu (kolitis infeksi),2009,1747
Bencana Non Alam dan Penyakit,Diare & gastroenteritis Oleh penyebab infeksi tertentu (kolitis infeksi),2010,1289
Bencana Non Alam dan Penyakit,Diare & gastroenteritis Oleh penyebab infeksi tertentu (kolitis infeksi),2010,1289
Bencana Non Alam dan Penyakit,Difteri,2005,1
Bencana Non Alam dan Penyakit,Difteri,2006,1
Bencana Non Alam dan Penyakit,Difteri,2007,11
Bencana Non Alam dan Penyakit,Difteri,2010,24
Bencana Non Alam dan Penyakit,Difteri,2011,38
Bencana Non Alam dan Penyakit,Difteri,2012,76
Bencana Non Alam dan Penyakit,Difteri,2013,39
Bencana Non Alam dan Penyakit,Difteri,2014,16
Bencana Non Alam dan Penyakit,Difteri,2015,5
Bencana Non Alam dan Penyakit,Difteri,2016,24
